month,trends_los_angeles_history,trends_olvera_street,trends_los_angeles_museums,trends_things_to_do_in_los_angeles,trends_el_pueblo_los_angeles,trends_things_to_do_in_la,trends_la_brea_tar_pits,trends_things_to_do_in_downtown_la,trends_los_angeles_attractions,trends_griffith_observatory,trends_getty_museum,trends_family_activities_los_angeles,trends_free_museums_los_angeles,trends_indoor_things_to_do_in_los_angeles,trends_things_to_do_in_la_in_december,trends_things_to_do_in_la_in_february,trends_things_to_do_in_la_in_january,trends_historic_district_los_angeles,trends_things_to_do_in_los_angeles_in_winter,trends_kid_friendly_museums_los_angeles,trends_avila_adobe,trends_historical_sites_los_angeles,trends_oldest_building_in_los_angeles,trends_historic_sites_california,trends_living_history_museum,trends_mexican_heritage_los_angeles,trends_things_to_do_near_union_station_los_angeles,trends_things_to_do_in_la_when_it_rains,trends_oldest_house_los_angeles,trends_oldest_home_in_los_angeles,trends_family_things_to_do_in_downtown_la,trends_cultural_heritage_los_angeles,trends_things_to_do_in_la_for_a_couple_hours,trends_things_to_do_in_la_for_2_hours,trends_historic_attractions_los_angeles,trends_heritage_tourism_los_angeles,trends_interactive_museums_los_angeles,trends_cultural_experiences_los_angeles,trends_historic_house_los_angeles,trends_historic_house_museum,trends_rainy_day_activities_los_angeles,trends_oldest_house_in_los_angeles,trends_life_in_the_1840s
2014-01,91.0,59.0,81.0,52.0,48.0,42.0,58.0,38.0,70.0,55.0,78.0,64.0,79.0,0.0,0.0,37.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02,82.0,65.0,63.0,54.0,44.0,39.0,56.0,34.0,61.0,47.0,64.0,67.0,31.0,80.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2014-03,94.0,69.0,66.0,58.0,56.0,47.0,65.0,31.0,72.0,52.0,74.0,84.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04,97.0,80.0,61.0,50.0,61.0,43.0,60.0,32.0,73.0,78.0,76.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05,89.0,89.0,50.0,55.0,71.0,39.0,59.0,44.0,64.0,53.0,69.0,0.0,19.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06,94.0,68.0,68.0,67.0,83.0,51.0,67.0,36.0,77.0,60.0,68.0,79.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07,93.0,73.0,79.0,84.0,55.0,63.0,76.0,58.0,100.0,70.0,79.0,82.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08,87.0,68.0,62.0,69.0,82.0,57.0,62.0,53.0,84.0,65.0,71.0,100.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09,72.0,59.0,51.0,50.0,49.0,40.0,44.0,33.0,62.0,41.0,51.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10,65.0,80.0,40.0,43.0,53.0,35.0,42.0,33.0,51.0,42.0,45.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11,62.0,71.0,48.0,46.0,78.0,35.0,45.0,27.0,51.0,40.0,51.0,66.0,10.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12,66.0,62.0,43.0,56.0,0.0,40.0,44.0,37.0,70.0,45.0,59.0,89.0,20.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01,72.0,47.0,83.0,52.0,36.0,43.0,50.0,49.0,56.0,49.0,60.0,81.0,61.0,0.0,0.0,48.0,96.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02,72.0,45.0,54.0,44.0,43.0,38.0,48.0,31.0,51.0,42.0,50.0,0.0,17.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03,69.0,58.0,53.0,48.0,56.0,43.0,45.0,42.0,63.0,45.0,56.0,63.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04,74.0,64.0,47.0,49.0,56.0,41.0,51.0,30.0,57.0,45.0,57.0,69.0,19.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05,83.0,68.0,55.0,52.0,80.0,45.0,47.0,46.0,63.0,46.0,58.0,83.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06,77.0,64.0,70.0,57.0,74.0,56.0,59.0,46.0,69.0,52.0,52.0,73.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07,82.0,59.0,76.0,74.0,72.0,73.0,76.0,68.0,92.0,73.0,65.0,88.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08,87.0,64.0,57.0,67.0,43.0,68.0,64.0,52.0,77.0,68.0,65.0,87.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0
2015-09,83.0,58.0,51.0,46.0,88.0,53.0,50.0,48.0,58.0,65.0,49.0,69.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10,77.0,92.0,40.0,49.0,53.0,45.0,46.0,43.0,58.0,40.0,48.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11,69.0,69.0,52.0,45.0,45.0,45.0,55.0,34.0,51.0,48.0,50.0,0.0,29.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12,73.0,59.0,63.0,57.0,44.0,57.0,56.0,59.0,65.0,58.0,61.0,68.0,32.0,0.0,47.0,40.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01,100.0,53.0,100.0,58.0,51.0,64.0,60.0,66.0,53.0,56.0,60.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02,75.0,55.0,66.0,52.0,49.0,55.0,53.0,49.0,54.0,48.0,52.0,85.0,27.0,0.0,0.0,81.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03,77.0,70.0,67.0,59.0,66.0,68.0,58.0,60.0,65.0,56.0,64.0,58.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04,80.0,70.0,60.0,52.0,36.0,59.0,59.0,57.0,58.0,52.0,55.0,68.0,32.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05,77.0,78.0,58.0,60.0,69.0,63.0,55.0,63.0,69.0,59.0,65.0,46.0,26.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06,81.0,66.0,66.0,67.0,80.0,70.0,59.0,74.0,61.0,61.0,62.0,80.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07,82.0,73.0,70.0,79.0,47.0,88.0,85.0,89.0,79.0,80.0,74.0,54.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08,68.0,61.0,53.0,59.0,72.0,61.0,75.0,64.0,62.0,66.0,62.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09,75.0,66.0,48.0,56.0,45.0,58.0,54.0,51.0,57.0,50.0,48.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10,64.0,100.0,40.0,57.0,60.0,54.0,45.0,54.0,68.0,51.0,46.0,0.0,14.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11,66.0,67.0,49.0,52.0,51.0,58.0,41.0,48.0,45.0,51.0,48.0,61.0,20.0,0.0,17.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12,71.0,57.0,58.0,66.0,45.0,59.0,51.0,62.0,63.0,60.0,55.0,86.0,28.0,0.0,39.0,0.0,32.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0
2017-01,88.0,54.0,87.0,63.0,51.0,62.0,64.0,61.0,44.0,59.0,55.0,0.0,88.0,85.0,0.0,33.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,78.0,0.0,0.0,0.0
2017-02,74.0,49.0,60.0,56.0,34.0,61.0,51.0,61.0,44.0,54.0,46.0,0.0,26.0,100.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0
2017-03,71.0,69.0,57.0,65.0,51.0,64.0,61.0,64.0,50.0,65.0,51.0,73.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04,75.0,78.0,58.0,69.0,79.0,67.0,59.0,67.0,55.0,65.0,56.0,77.0,36.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05,77.0,86.0,67.0,64.0,81.0,64.0,54.0,66.0,57.0,63.0,52.0,80.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06,78.0,83.0,72.0,83.0,91.0,82.0,69.0,100.0,65.0,77.0,58.0,55.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07,76.0,85.0,80.0,100.0,62.0,97.0,82.0,99.0,81.0,90.0,71.0,62.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2017-08,69.0,59.0,60.0,73.0,76.0,76.0,57.0,88.0,62.0,83.0,55.0,62.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09,73.0,62.0,56.0,62.0,65.0,66.0,49.0,54.0,47.0,54.0,45.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,61.0,97.0,38.0,54.0,57.0,55.0,43.0,50.0,50.0,49.0,45.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0
2017-11,64.0,68.0,48.0,57.0,49.0,57.0,47.0,54.0,40.0,53.0,51.0,50.0,19.0,0.0,29.0,0.0,22.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,69.0,71.0,61.0,77.0,37.0,72.0,51.0,84.0,57.0,67.0,100.0,92.0,20.0,57.0,74.0,0.0,37.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,84.0,60.0,77.0,67.0,49.0,65.0,63.0,76.0,52.0,60.0,63.0,58.0,63.0,61.0,0.0,60.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,75.0,63.0,62.0,59.0,65.0,58.0,48.0,57.0,41.0,55.0,55.0,60.0,30.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,80.0,75.0,70.0,73.0,45.0,68.0,55.0,83.0,58.0,60.0,59.0,61.0,32.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04,80.0,75.0,58.0,61.0,30.0,62.0,66.0,62.0,45.0,60.0,59.0,86.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05,67.0,81.0,55.0,61.0,85.0,61.0,50.0,63.0,50.0,58.0,55.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06,64.0,76.0,61.0,75.0,48.0,78.0,62.0,73.0,67.0,68.0,59.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07,73.0,72.0,67.0,84.0,58.0,100.0,71.0,85.0,65.0,100.0,69.0,76.0,35.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08,65.0,64.0,57.0,71.0,67.0,77.0,62.0,88.0,55.0,71.0,59.0,64.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09,64.0,70.0,55.0,58.0,62.0,69.0,44.0,71.0,39.0,57.0,50.0,65.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
