Month,Avila Adobe,Olvera Street,El Pueblo Los Angeles,Los Angeles museums,things to do in LA,things to do in Los Angeles,things to do in downtown LA,things to do in Los Angeles in winter,things to do in LA in December,things to do in LA in January,things to do in LA in February,indoor things to do in Los Angeles,things to do in LA for a couple hours,things to do in LA for 2 hours,things to do near Union Station Los Angeles,historic sites California,historical sites Los Angeles,Los Angeles attractions,historic attractions Los Angeles,Los Angeles history,cultural heritage Los Angeles,heritage tourism Los Angeles,historic district Los Angeles,Mexican heritage Los Angeles,family activities Los Angeles,kid friendly museums Los Angeles,kids activities downtown Los Angeles,family things to do in downtown LA,free museums Los Angeles,things to do in LA when it rains,rainy day activities Los Angeles,Getty Museum,La Brea Tar Pits,Griffith Observatory,oldest house in Los Angeles,oldest house Los Angeles,oldest home in Los Angeles,historic house Los Angeles,oldest building in Los Angeles,1840s Los Angeles,life in the 1840s,living history museum,historic house museum,interactive museums Los Angeles,cultural experiences Los Angeles
2018-06-01T00:00:00.000,0.0,76.0,,61.0,78.0,75.0,,,,,,,,,,0.0,,67.0,,64.0,,,,,0.0,,,,25.0,0.0,0.0,59.0,62.0,68.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2018-07-01T00:00:00.000,70.0,72.0,,67.0,100.0,84.0,,,,,,,,,,0.0,,65.0,,73.0,,,,,76.0,,,,35.0,0.0,0.0,69.0,71.0,100.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2018-08-01T00:00:00.000,0.0,64.0,,57.0,77.0,71.0,,,,,,,,,,0.0,,55.0,,65.0,,,,,64.0,,,,31.0,0.0,0.0,59.0,62.0,71.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2018-09-01T00:00:00.000,100.0,70.0,,55.0,69.0,58.0,,,,,,,,,,0.0,,39.0,,64.0,,,,,65.0,,,,28.0,0.0,0.0,50.0,44.0,57.0,0.0,,,0.0,0.0,,0.0,54.0,0.0,,
2018-10-01T00:00:00.000,0.0,96.0,,42.0,53.0,48.0,,,,,,,,,,0.0,,41.0,,56.0,,,,,59.0,,,,15.0,0.0,0.0,43.0,37.0,49.0,0.0,,,0.0,84.0,,0.0,41.0,0.0,,
2018-11-01T00:00:00.000,0.0,77.0,,47.0,62.0,52.0,,,,,,,,,,0.0,,38.0,,57.0,,,,,60.0,,,,22.0,0.0,0.0,46.0,40.0,50.0,0.0,,,100.0,0.0,,0.0,0.0,0.0,,
2018-12-01T00:00:00.000,66.0,67.0,,64.0,68.0,69.0,,,,,,,,,,0.0,,50.0,,59.0,,,,,70.0,,,,32.0,0.0,0.0,55.0,48.0,65.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2019-01-01T00:00:00.000,0.0,49.0,,81.0,70.0,60.0,,,,,,,,,,0.0,,41.0,,69.0,,,,,56.0,,,,56.0,89.0,66.0,56.0,50.0,62.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2019-02-01T00:00:00.000,0.0,49.0,,85.0,61.0,54.0,,,,,,,,,,0.0,,35.0,,71.0,,,,,76.0,,,,80.0,84.0,100.0,47.0,52.0,49.0,0.0,,,74.0,0.0,,0.0,0.0,0.0,,
2019-03-01T00:00:00.000,0.0,67.0,,63.0,69.0,62.0,,,,,,,,,,0.0,,44.0,,64.0,,,,,49.0,,,,29.0,75.0,0.0,52.0,54.0,58.0,0.0,,,0.0,0.0,,0.0,66.0,0.0,,
2019-04-01T00:00:00.000,0.0,71.0,,59.0,64.0,59.0,,,,,,,,,,0.0,,41.0,,69.0,,,,,63.0,,,,31.0,0.0,0.0,51.0,58.0,55.0,0.0,,,0.0,95.0,,0.0,0.0,63.0,,
2019-05-01T00:00:00.000,79.0,81.0,,60.0,71.0,60.0,,,,,,,,,,0.0,,47.0,,63.0,,,,,55.0,,,,34.0,38.0,0.0,51.0,52.0,56.0,0.0,,,58.0,0.0,,0.0,0.0,0.0,,
2019-06-01T00:00:00.000,0.0,66.0,,71.0,82.0,71.0,,,,,,,,,,0.0,,52.0,,62.0,,,,,66.0,,,,42.0,0.0,0.0,55.0,91.0,66.0,0.0,,,0.0,0.0,,0.0,50.0,0.0,,
2019-07-01T00:00:00.000,52.0,65.0,,70.0,87.0,77.0,,,,,,,,,,0.0,,57.0,,70.0,,,,,74.0,,,,37.0,0.0,0.0,59.0,100.0,75.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2019-08-01T00:00:00.000,0.0,64.0,,56.0,76.0,70.0,,,,,,,,,,0.0,,48.0,,62.0,,,,,0.0,,,,30.0,0.0,0.0,57.0,71.0,70.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2019-09-01T00:00:00.000,0.0,64.0,,47.0,57.0,53.0,,,,,,,,,,0.0,,34.0,,59.0,,,,,53.0,,,,31.0,0.0,0.0,42.0,50.0,54.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2019-10-01T00:00:00.000,0.0,84.0,,39.0,53.0,51.0,,,,,,,,,,0.0,,34.0,,59.0,,,,,45.0,,,,21.0,0.0,0.0,74.0,42.0,44.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2019-11-01T00:00:00.000,0.0,82.0,,47.0,58.0,57.0,,,,,,,,,,0.0,,32.0,,66.0,,,,,0.0,,,,20.0,0.0,0.0,51.0,44.0,46.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2019-12-01T00:00:00.000,0.0,62.0,,62.0,60.0,64.0,,,,,,,,,,0.0,,43.0,,54.0,,,,,66.0,,,,27.0,0.0,0.0,54.0,46.0,53.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2020-01-01T00:00:00.000,0.0,46.0,,66.0,59.0,55.0,,,,,,,,,,0.0,,33.0,,59.0,,,,,0.0,,,,49.0,0.0,0.0,53.0,49.0,50.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2020-02-01T00:00:00.000,0.0,51.0,,58.0,56.0,52.0,,,,,,,,,,0.0,,29.0,,56.0,,,,,0.0,,,,25.0,0.0,0.0,46.0,45.0,49.0,0.0,,,0.0,0.0,,0.0,52.0,0.0,,
2020-03-01T00:00:00.000,0.0,23.0,,27.0,27.0,24.0,,,,,,,,,,0.0,,13.0,,39.0,,,,,0.0,,,,9.0,56.0,0.0,24.0,25.0,23.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2020-04-01T00:00:00.000,0.0,13.0,,4.0,3.0,4.0,,,,,,,,,,0.0,,5.0,,31.0,,,,,0.0,,,,0.0,0.0,0.0,21.0,11.0,5.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2020-05-01T00:00:00.000,0.0,25.0,,10.0,8.0,8.0,,,,,,,,,,0.0,,7.0,,34.0,,,,,0.0,,,,0.0,0.0,0.0,14.0,14.0,11.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2020-06-01T00:00:00.000,0.0,26.0,,29.0,16.0,16.0,,,,,,,,,,0.0,,11.0,,40.0,,,,,0.0,,,,0.0,0.0,0.0,14.0,15.0,14.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2020-07-01T00:00:00.000,0.0,26.0,,17.0,18.0,19.0,,,,,,,,,,0.0,,15.0,,30.0,,,,,0.0,,,,0.0,0.0,0.0,13.0,13.0,15.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2020-08-01T00:00:00.000,0.0,20.0,,21.0,24.0,23.0,,,,,,,,,,0.0,,16.0,,30.0,,,,,0.0,,,,0.0,0.0,0.0,14.0,15.0,14.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2020-09-01T00:00:00.000,55.0,33.0,,23.0,23.0,27.0,,,,,,,,,,52.0,,19.0,,36.0,,,,,0.0,,,,0.0,0.0,0.0,13.0,17.0,15.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2020-10-01T00:00:00.000,0.0,37.0,,27.0,26.0,34.0,,,,,,,,,,0.0,,26.0,,32.0,,,,,0.0,,,,0.0,0.0,0.0,13.0,18.0,14.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2020-11-01T00:00:00.000,0.0,32.0,,19.0,19.0,20.0,,,,,,,,,,0.0,,16.0,,33.0,,,,,0.0,,,,0.0,0.0,0.0,11.0,14.0,14.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2020-12-01T00:00:00.000,0.0,22.0,,11.0,12.0,15.0,,,,,,,,,,0.0,,13.0,,23.0,,,,,0.0,,,,0.0,0.0,0.0,7.0,11.0,17.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2021-01-01T00:00:00.000,0.0,19.0,,18.0,16.0,18.0,,,,,,,,,,0.0,,11.0,,26.0,,,,,52.0,,,,0.0,0.0,0.0,9.0,16.0,14.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2021-02-01T00:00:00.000,0.0,26.0,,36.0,22.0,27.0,,,,,,,,,,0.0,,18.0,,37.0,,,,,0.0,,,,0.0,0.0,0.0,13.0,20.0,16.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2021-03-01T00:00:00.000,0.0,33.0,,57.0,31.0,38.0,,,,,,,,,,0.0,,23.0,,42.0,,,,,0.0,,,,6.0,0.0,0.0,18.0,24.0,21.0,0.0,,,0.0,82.0,,0.0,0.0,0.0,,
2021-04-01T00:00:00.000,0.0,44.0,,59.0,33.0,40.0,,,,,,,,,,0.0,,21.0,,47.0,,,,,59.0,,,,10.0,0.0,0.0,25.0,41.0,24.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2021-05-01T00:00:00.000,0.0,49.0,,61.0,38.0,47.0,,,,,,,,,,0.0,,32.0,,48.0,,,,,40.0,,,,17.0,0.0,0.0,33.0,46.0,34.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2021-06-01T00:00:00.000,0.0,46.0,,72.0,42.0,54.0,,,,,,,,,,0.0,,38.0,,54.0,,,,,0.0,,,,22.0,0.0,0.0,54.0,49.0,39.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2021-07-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
